equipment,count,mean,median,std
Dry Van,27202,2271.54868612602,1953.035,1423.029914360813
Reefer,12045,2553.636938978829,2196.67,1589.670823853124
Flatbed,8753,2445.0872226665147,2076.81,1505.0530865747846
