,pearson,spearman
posted_rate,1.0,1.0
distance,0.9085191518300795,0.9759685089531235
delivery_lon,-0.2570857340087841,-0.1993048175913861
pickup_lon,-0.25505844108035686,-0.19652602232762467
delivery_lat,-0.09196994067618612,-0.11491645393353868
pickup_lat,-0.09087344118669202,-0.11207978158352017
quote_signal,-0.03985797823788269,-0.03991221653078987
weight,0.034839864177600564,0.041676055393436266
market_index,0.03416509829557221,0.03150461220427704
