feature_set,objective,target_transform,stage,num_leaves,learning_rate,min_child_samples,max_depth,subsample,colsample_bytree,cat_smooth,cat_l2,include_lane,best_iteration,august_mae,august_rmse,august_mape_percent,august_r2,elapsed_seconds
common,l1,log,leaf_lr_grid,127,0.010000,12,-1,1.000000,1.000000,10.000000,10.000000,False,4997,87.261787,613.438329,4.117288,0.826994,38.802389
common,l1,log,leaf_lr_grid,127,0.030000,12,-1,1.000000,1.000000,10.000000,10.000000,False,2675,87.888598,613.525046,4.128880,0.826945,21.735633
common,l1,log,leaf_lr_grid,150,0.010000,12,-1,1.000000,1.000000,10.000000,10.000000,False,5000,87.250266,613.628159,4.119525,0.826887,44.656539
common,l1,log,leaf_lr_grid,150,0.020000,12,-1,1.000000,1.000000,10.000000,10.000000,False,3853,87.651105,613.704267,4.131452,0.826844,34.628582
common,l1,log,leaf_lr_grid,150,0.030000,12,-1,1.000000,1.000000,10.000000,10.000000,False,2664,87.733290,613.258496,4.148647,0.827095,23.605228
common,l1,log,child_refine,63,0.020000,10,-1,1.000000,1.000000,10.000000,10.000000,False,2720,87.270618,613.611424,4.110817,0.826896,15.032830
common,l1,log,child_refine,63,0.020000,15,-1,1.000000,1.000000,10.000000,10.000000,False,3717,87.104999,613.692357,4.117163,0.826851,19.529899
common,l1,log,child_refine,63,0.020000,20,-1,1.000000,1.000000,10.000000,10.000000,False,2616,87.101585,613.516081,4.110430,0.826950,14.399160
common,l1,log,child_refine,100,0.010000,10,-1,1.000000,1.000000,10.000000,10.000000,False,3598,87.760086,613.523281,4.139312,0.826946,36.878009
common,l1,log,child_refine,100,0.010000,15,-1,1.000000,1.000000,10.000000,10.000000,False,4999,87.191521,613.423154,4.111379,0.827003,39.133352
common,l1,log,child_refine,100,0.010000,20,-1,1.000000,1.000000,10.000000,10.000000,False,5000,87.172660,613.654997,4.119128,0.826872,36.092537
common,l1,log,sampling_check,63,0.020000,12,-1,0.900000,1.000000,10.000000,10.000000,False,4981,86.190579,613.777791,4.073785,0.826803,26.712636
common,l1,log,sampling_check,63,0.020000,12,-1,1.000000,0.900000,10.000000,10.000000,False,3065,86.805432,613.671756,4.087934,0.826862,15.574873
common,l1,log,sampling_check,63,0.020000,12,-1,0.900000,0.900000,10.000000,10.000000,False,2394,86.887859,613.498302,4.097327,0.826960,12.254017
common,l1,log,sampling_check,63,0.020000,12,-1,0.800000,0.800000,10.000000,10.000000,False,4083,85.772169,613.269188,4.044776,0.827089,19.580599
common,l1,log,lane_check,63,0.020000,12,-1,1.000000,1.000000,10.000000,10.000000,True,2240,88.431917,613.954835,4.197381,0.826703,19.371955
common,l1,log,category_reg,63,0.020000,12,-1,1.000000,1.000000,5.000000,10.000000,False,2632,87.918970,613.507367,4.141838,0.826955,15.318561
common,l1,log,category_reg,63,0.020000,12,-1,1.000000,1.000000,20.000000,10.000000,False,2973,86.828565,613.639256,4.098171,0.826881,16.127898
common,l1,log,category_reg,63,0.020000,12,-1,1.000000,1.000000,10.000000,5.000000,False,3421,87.316759,613.894422,4.111360,0.826737,18.804185
common,l1,log,category_reg,63,0.020000,12,-1,1.000000,1.000000,10.000000,20.000000,False,2127,87.470009,613.813756,4.126746,0.826782,15.348672
